"Route","Component","File","HardColors","TokenClasses","Gradients","ImgTags","ImgLoading","H1","H2","StaleDateRefs","Rating"
"/","Dashboard","client\src\pages\dashboard.tsx","16","0","3","0","0","2","0","0","Partial"
"/","Landing","client\src\pages\landing.tsx","94","0","7","0","0","1","5","1","Needs redesign"
"/about","About","client\src\pages\about.tsx","79","0","3","0","0","1","5","1","Needs redesign"
"/admin","AdminSettings","client\src\pages\admin-settings.tsx","4","0","0","0","0","1","0","0","Mostly aligned"
"/ai-assistant","AIAssistant","client\src\pages\ai-assistant.tsx","3","7","0","0","0","1","0","0","Mostly aligned"
"/ai-doc-generator","AIDocGenerator","client\src\pages\ai-doc-generator.tsx","6","41","0","0","0","1","3","0","Mostly aligned"
"/ai-hub","AIHub","client\src\pages\ai-hub.tsx","28","12","0","0","0","1","0","0","Partial"
"/ai-specialization","IndustrySpecialization","client\src\components\ai\IndustrySpecialization.tsx","8","10","0","0","0","1","0","0","Mostly aligned"
"/api-keys","ApiKeys","client\src\pages\api-keys.tsx","4","7","0","0","0","2","0","0","Mostly aligned"
"/audit-trail","AuditTrail","client\src\pages\audit-trail.tsx","53","0","0","0","0","2","0","0","Needs redesign"
"/auditor-workspace","AuditorWorkspace","client\src\pages\auditor-workspace.tsx","7","19","0","0","0","1","0","0","Mostly aligned"
"/cloud-integrations","CloudIntegrations","client\src\pages\cloud-integrations.tsx","42","0","0","0","0","1","0","0","Partial"
"/connectors","ConnectorsHub","client\src\pages\connectors-hub.tsx","3","3","0","0","0","1","0","0","Mostly aligned"
"/contact","Contact","client\src\pages\contact.tsx","55","0","2","0","0","1","1","1","Needs redesign"
"/control-approvals","ControlApprovals","client\src\pages\control-approvals.tsx","2","10","0","0","0","1","0","0","Mostly aligned"
"/dashboard","Dashboard","client\src\pages\dashboard.tsx","16","0","3","0","0","2","0","0","Partial"
"/documents","Documents","client\src\pages\documents.tsx","67","1","0","0","0","1","0","0","Needs redesign"
"/enhanced-profile","EnhancedCompanyProfile","client\src\pages\enhanced-company-profile.tsx","9","3","1","0","0","1","0","0","Mostly aligned"
"/enterprise-login","EnterpriseLogin","client\src\pages\enterprise-login.tsx","38","2","2","0","0","0","0","0","Partial"
"/enterprise-signup","EnterpriseSignup","client\src\pages\enterprise-signup.tsx","46","0","2","0","0","0","0","0","Partial"
"/evidence-ingestion","EvidenceIngestion","client\src\pages\evidence-ingestion.tsx","10","11","0","0","0","1","0","0","Mostly aligned"
"/export","ExportCenter","client\src\pages\export-center.tsx","8","3","0","0","0","1","0","0","Mostly aligned"
"/features","Features","client\src\pages\features.tsx","68","0","6","1","0","1","5","1","Needs redesign"
"/fedramp-framework","FedRAMPFramework","client\src\pages\fedramp-framework.tsx","60","15","0","0","0","1","0","0","Needs redesign"
"/forgot-password","ForgotPassword","client\src\pages\forgot-password.tsx","36","0","2","0","0","0","0","0","Partial"
"/gap-analysis","GapAnalysis","client\src\pages\gap-analysis.tsx","45","0","0","0","0","1","2","0","Partial"
"/iso27001-framework","ISO27001Framework","client\src\pages\iso27001-framework.tsx","33","21","0","0","0","1","0","0","Partial"
"/local-settings","LocalSettings","client\src\pages\local-settings.tsx","2","19","0","0","0","1","0","0","Mostly aligned"
"/login","EnterpriseLogin","client\src\pages\enterprise-login.tsx","38","2","2","0","0","0","0","0","Partial"
"/mcp-tools","MCPTools","client\src\pages\mcp-tools.tsx","3","22","0","0","0","1","0","0","Mostly aligned"
"/mfa-setup","MfaSetup","client\src\pages\mfa-setup.tsx","16","0","0","1","0","2","0","0","Partial"
"/nist-framework","NISTFramework","client\src\pages\nist-framework.tsx","65","15","0","0","0","1","0","0","Needs redesign"
"/organizations","OrganizationSetup","client\src\pages\organization-setup.tsx","38","0","0","0","0","1","2","0","Partial"
"/pricing","Pricing","client\src\pages\pricing.tsx","62","0","2","0","0","1","3","1","Needs redesign"
"/privacy","Privacy","client\src\pages\privacy.tsx","75","0","1","0","0","1","10","2","Needs redesign"
"/profile","CompanyProfile","client\src\pages\company-profile.tsx","0","18","0","0","0","1","0","0","Mostly aligned"
"/profile/settings","ProfileSettings","client\src\pages\profile-settings.tsx","0","3","0","0","0","1","1","0","Mostly aligned"
"/repository-analysis","RepositoryAnalysis","client\src\pages\repository-analysis.tsx","0","4","0","0","0","2","0","0","Mostly aligned"
"/reset-password","ResetPassword","client\src\pages\reset-password.tsx","44","0","3","0","0","0","0","0","Partial"
"/soc2-framework","SOC2Framework","client\src\pages\soc2-framework.tsx","58","15","0","0","0","1","0","0","Needs redesign"
"/storage","ObjectStorageManager","client\src\components\ObjectStorageManager.tsx","4","0","0","0","0","1","0","0","Mostly aligned"
"/terms","Terms","client\src\pages\terms.tsx","87","0","1","0","0","1","14","2","Needs redesign"
"/user-profile","UserProfile","client\src\pages\user-profile.tsx","11","0","0","0","0","1","1","0","Mostly aligned"
